ID,LABEL,OBSTRUCTION
strasbourg_000000_001278,21 21 21 12 8 12 8 17 21 8 17 17 17 17 17 17 17 17 17 17 17 17 26 26 26 26 21 21 17 17 17 17 26 26 17 17 26 26 26 26 26 26 26 26 ,0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 
krefeld_000000_035398,8 8 8 8 21 17 26 26 21 21 21 17 17 17 17 17 17 33 33 17 26 17 21 21 17 17 17 17 17 17 17 17 17 17 17 17 17 12 26 26 17 ,0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 1 0 1 1 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 
strasbourg_000001_054639,26 21 17 12 21 17 17 26 12 17 21 26 8 13 21 17 17 17 17 17 26 17 17 21 17 17 17 17 17 26 17 17 17 17 17 8 10 33 17 8 17 8 ,0 0 0 1 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 
frankfurt_000001_044525,8 8 8 21 26 17 21 17 17 17 17 17 21 17 17 17 17 17 17 17 17 17 17 21 17 33 33 33 17 33 26 26 12 26 17 17 17 17 17 17 17 17 21 17 17 17 21 21 17 13 17 17 21 17 17 17 17 17 17 17 17 17 ,0 0 0 1 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 0 0 0 0 1 0 0 0 1 1 1 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 
munster_000158_000019,8 21 8 8 21 26 17 26 17 21 21 17 17 17 26 26 21 21 21 17 17 21 26 17 21 26 26 26 26 21 21 21 21 21 21 17 17 17 17 17 17 26 26 26 26 26 26 33 33 26 26 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 
stuttgart_000016_000019,17 21 17 17 17 12 8 21 17 17 17 17 21 26 26 17 17 26 17 17 17 17 17 17 17 26 26 17 8 ,0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
lindau_000038_000019,21 21 21 8 26 26 26 26 26 26 26 26 26 26 26 26 26 17 26 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
zurich_000095_000019,21 21 21 8 21 21 17 17 26 26 ,0 0 0 0 1 1 1 1 0 0 
dusseldorf_000216_000019,8 8 21 21 17 17 26 26 26 17 26 26 26 26 17 26 17 26 26 17 26 26 26 26 17 17 26 17 17 26 17 26 26 26 ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
stuttgart_000021_000019,8 21 17 17 18 17 13 17 17 18 17 17 17 17 17 17 33 17 ,0 0 0 0 0 0 1 1 0 0 0 0 1 1 1 1 1 1 
