ID,LABEL
strasbourg_000000_001278,7 21 21 21 12 8 12 8 17 21 8 17 17 17 17 17 17 17 17 17 17 17 17 26 26 26 26 21 21 17 17 17 17 26 26 17 17 26 26 26 26 26 26 26 26 
krefeld_000000_035398,7 8 8 8 8 21 17 26 26 21 21 21 17 17 17 17 17 17 33 33 17 26 17 21 21 17 17 17 17 17 17 17 17 17 17 17 17 17 12 26 26 17 
strasbourg_000001_054639,26 21 17 12 21 17 17 26 12 17 21 26 8 13 21 17 17 17 17 17 26 17 17 21 17 17 17 17 17 26 17 17 17 17 17 8 10 33 17 8 17 7 8 
frankfurt_000001_044525,7 8 8 8 21 26 17 21 17 17 17 17 17 21 17 17 17 17 17 17 17 17 17 17 21 17 33 33 33 17 33 26 26 12 26 17 17 17 17 17 17 17 17 21 17 17 17 21 21 17 13 17 17 21 17 17 17 17 17 17 17 17 17 
munster_000158_000019,7 8 21 8 8 21 26 17 26 17 21 21 17 17 17 26 26 21 21 21 17 17 21 26 17 21 26 26 26 26 21 21 21 21 21 21 17 17 17 17 17 17 26 26 26 26 26 26 33 33 26 26 
stuttgart_000016_000019,17 7 21 17 17 17 12 8 21 17 17 17 17 21 26 26 17 17 26 17 17 17 17 17 17 17 26 26 17 8 
lindau_000038_000019,7 21 21 21 8 26 26 26 26 26 26 26 26 26 26 26 26 26 17 26 
zurich_000095_000019,21 21 7 21 8 21 21 17 17 26 26 
dusseldorf_000216_000019,7 8 8 21 21 17 17 26 26 26 17 26 26 26 26 17 26 17 26 26 17 26 26 26 26 17 17 26 17 17 26 17 26 26 26 
stuttgart_000021_000019,7 8 21 17 17 18 17 13 17 17 18 17 17 17 17 17 17 33 17 
monchengladbach_000000_023856,7 8 21 8 26 17 26 26 26 26 17 17 17 17 21 17 26 17 33 33 17 17 17 17 17 26 
hanover_000000_005732,26 21 17 17 21 26 17 17 17 17 26 26 17 26 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 7 26 17 8 26 17 26 17 17 17 12 17 26 26 26 26 17 33 17 33 17 21 17 21 17 17 26 
strasbourg_000000_022489,7 8 8 10 8 8 8 8 26 13 21 21 21 21 26 17 17 17 17 17 17 17 17 17 17 17 21 17 26 17 8 17 26 33 17 17 26 
strasbourg_000000_013654,7 21 8 8 8 17 17 17 17 17 17 26 26 17 26 26 26 26 33 17 17 13 17 17 17 
stuttgart_000102_000019,21 21 7 8 21 13 8 26 17 17 26 21 21 13 17 17 17 
cologne_000084_000019,21 7 17 26 26 26 26 26 26 26 17 26 26 26 26 26 26 26 26 26 26 26 26 33 26 8 17 33 26 26 26 26 26 26 26 26 26 26 17 26 26 
strasbourg_000001_035562,7 8 10 10 21 21 8 17 17 13 13 13 17 17 17 17 17 17 8 17 26 17 17 
dusseldorf_000148_000019,7 8 8 8 8 8 17 17 21 17 26 26 17 21 26 17 17 17 17 17 17 17 17 17 17 17 17 17 17 21 17 17 21 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 26 
tubingen_000028_000019,7 21 21 21 21 12 8 12 17 17 21 21 21 8 
frankfurt_000001_062509,7 26 26 26 33 17 17 17 17 8 17 17 17 17 17 17 17 17 17 17 26 17 17 17 17 17 17 17 17 26 26 26 26 26 8 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 26 
frankfurt_000001_013496,7 8 8 8 8 17 17 26 8 17 17 26 26 26 26 17 26 26 26 26 26 21 21 17 26 26 33 26 26 26 26 12 17 21 17 17 17 21 26 21 17 33 21 17 17 17 17 33 17 17 17 26 17 
monchengladbach_000000_004580,7 8 8 8 13 21 17 17 26 13 21 17 17 17 17 17 26 17 17 26 26 17 17 17 17 17 17 17 17 17 33 17 17 17 17 26 17 17 
aachen_000008_000019,7 8 8 12 26 21 21 21 21 21 17 17 17 17 17 17 17 17 17 17 17 17 17 17 26 17 21 26 17 26 17 26 17 17 21 17 17 17 17 17 17 17 17 17 17 17 21 17 17 17 17 17 17 17 17 17 
erfurt_000097_000019,7 21 21 8 21 17 26 8 8 21 21 21 26 26 26 26 17 8 12 26 26 12 17 26 17 26 17 12 13 12 13 
stuttgart_000135_000019,21 8 21 8 7 26 26 26 17 17 17 26 26 26 17 26 21 17 26 26 26 26 17 26 17 26 17 17 26 26 26 26 
stuttgart_000074_000019,7 8 8 21 8 17 21 21 17 17 17 21 17 17 17 17 17 17 21 17 17 17 21 17 17 17 17 17 17 17 26 26 26 26 26 26 26 26 13 17 
aachen_000149_000019,7 8 8 8 21 26 26 26 17 17 17 26 21 21 17 17 17 17 21 21 17 17 21 17 17 26 17 17 17 17 8 
bremen_000082_000019,7 8 17 17 17 17 17 17 17 21 17 17 17 17 17 8 17 17 21 17 17 17 17 8 8 21 17 17 17 17 17 17 17 17 17 17 17 21 17 21 21 21 17 17 21 17 33 21 17 17 13 17 17 17 26 26 
hanover_000000_038855,7 8 8 21 17 17 17 26 33 33 33 21 33 26 17 26 17 17 17 
frankfurt_000001_072295,7 21 8 21 17 21 21 21 21 17 26 17 17 26 26 21 21 21 17 21 26 17 17 17 17 17 8 17 17 17 17 17 17 17 17 21 26 26 26 26 26 26 17 26 26 17 17 21 17 17 
dusseldorf_000009_000019,7 8 17 17 17 21 26 26 26 21 26 26 17 21 8 26 26 17 21 26 26 21 21 17 21 17 17 26 26 21 26 17 26 17 21 17 26 17 21 17 17 26 
hanover_000000_018213,17 7 8 21 21 21 17 26 26 17 17 17 26 26 26 26 26 26 26 26 17 17 26 17 17 17 17 17 17 26 17 26 17 17 17 17 26 26 17 26 17 17 26 26 26 17 17 17 17 26 17 26 26 26 17 26 17 12 26 17 17 
frankfurt_000001_007622,7 8 8 13 17 17 17 17 21 21 21 17 17 17 17 17 33 21 17 26 17 26 26 17 17 13 17 17 17 17 26 8 13 
frankfurt_000000_012121,7 8 21 17 17 26 26 26 13 21 12 21 13 26 13 26 17 17 17 17 17 21 26 17 17 26 26 17 17 17 17 17 26 17 17 26 17 17 26 18 26 21 17 17 
hanover_000000_034935,21 7 8 13 21 17 17 17 17 26 17 17 17 17 17 17 17 17 26 26 17 17 13 17 26 26 17 17 26 17 17 26 17 33 
stuttgart_000043_000019,21 12 7 8 26 26 26 26 17 17 17 26 26 17 26 17 
weimar_000038_000019,7 8 21 21 33 17 17 17 17 17 17 17 17 21 8 17 17 26 26 21 
hanover_000000_045841,21 21 8 7 21 17 17 33 33 17 26 17 7 17 33 17 17 17 33 17 17 17 33 26 26 17 17 26 7 26 26 12 21 17 17 17 17 
frankfurt_000001_057954,7 8 8 8 21 21 17 21 17 26 17 26 17 17 17 17 17 17 33 17 17 17 21 21 
bremen_000196_000019,7 8 8 26 21 17 13 17 17 17 17 26 17 26 17 17 17 17 17 17 17 26 26 17 26 26 26 26 17 26 26 17 17 26 
jena_000068_000019,21 21 7 8 8 21 13 26 17 26 26 26 26 17 26 26 26 17 26 26 26 26 17 26 26 26 17 17 13 33 33 17 17 26 17 26 26 
stuttgart_000160_000019,21 7 17 8 8 26 26 21 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 17 17 17 21 26 26 
bochum_000000_004229,7 21 8 21 21 21 17 21 26 26 21 26 21 21 8 21 26 21 21 21 21 17 26 21 17 17 21 26 17 8 17 
stuttgart_000157_000019,21 21 7 8 8 17 21 21 21 21 8 17 26 26 26 26 26 26 21 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 
munster_000019_000019,7 8 21 21 8 17 17 17 26 26 26 26 26 26 26 26 26 26 26 26 26 26 26 17 17 26 17 26 21 17 21 17 26 21 26 33 
frankfurt_000000_000294,7 8 8 8 21 17 17 21 17 13 17 26 17 17 17 17 17 17 26 17 17 26 17 
frankfurt_000001_059789,7 21 21 26 26 26 8 8 8 8 17 17 26 17 17 26 26 17 17 26 17 26 17 17 26 17 17 17 17 17 26 17 26 17 17 17 17 17 17 17 17 26 26 17 17 17 17 17 17 17 26 26 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 
aachen_000095_000019,21 7 17 8 8 17 21 17 21 17 21 21 21 21 21 8 17 21 17 26 26 7 8 26 33 17 33 
strasbourg_000000_014503,21 7 8 8 7 8 17 17 17 17 17 17 33 17 33 17 17 33 26 26 17 17 26 33 33 17 26 17 17 17 
hamburg_000000_053486,7 21 8 17 26 17 26 26 26 26 26 26 21 8 17 17 17 21 17 17 13 17 17 21 12 17 26 17 21 21 
strasbourg_000001_011775,7 21 17 17 17 8 17 17 17 17 21 17 17 17 8 13 26 26 26 8 17 17 17 17 26 17 26 17 17 17 17 17 17 17 13 17 33 33 17 17 17 17 26 
krefeld_000000_023698,7 21 8 26 17 17 17 17 17 17 33 26 26 26 26 8 17 17 21 17 13 17 17 17 13 17 17 17 17 
tubingen_000082_000019,7 8 8 17 17 21 26 33 
bremen_000169_000019,7 8 8 21 12 17 17 26 26 17 26 26 26 21 12 26 12 
ulm_000041_000019,21 21 17 17 17 17 17 7 17 12 17 17 17 17 17 17 21 8 17 26 8 17 17 17 17 17 
bremen_000314_000019,7 8 21 21 8 21 18 21 13 17 33 33 33 33 33 21 21 17 17 17 21 17 17 17 17 17 
cologne_000019_000019,8 17 17 21 7 17 17 13 33 17 17 26 26 26 26 8 13 26 17 
jena_000097_000019,7 8 8 8 8 21 21 17 21 21 21 13 26 13 17 17 17 17 17 17 17 21 17 33 33 17 17 21 12 17 26 17 17 17 17 17 13 17 
strasbourg_000001_045481,7 21 21 8 21 26 26 17 17 17 12 17 17 17 26 26 26 26 26 17 26 26 26 26 26 26 26 8 26 26 26 26 18 26 21 17 
darmstadt_000020_000019,7 8 21 17 17 8 17 17 17 26 17 17 26 17 26 17 21 17 26 17 13 21 17 17 17 17 17 17 17 17 17 21 26 21 17 26 17 17 17 17 21 17 17 17 21 
hanover_000000_019938,7 8 17 21 17 17 26 26 26 17 12 17 17 17 17 21 17 26 26 17 17 17 17 26 26 17 17 17 
bremen_000237_000019,7 8 8 21 21 17 21 17 26 26 26 26 17 26 26 26 21 26 17 17 33 21 17 21 33 17 17 17 21 21 13 21 13 17 26 26 26 26 26 26 26 
strasbourg_000001_050098,7 8 8 21 13 21 26 26 17 17 17 17 17 17 17 17 17 21 17 8 17 21 13 17 21 33 21 17 17 
zurich_000008_000019,7 8 8 21 17 17 17 17 17 17 17 13 26 17 8 26 8 26 12 
bochum_000000_000885,21 7 26 8 21 21 26 26 26 26 26 17 17 26 26 26 17 17 17 17 17 21 17 8 26 26 26 26 26 17 8 21 21 26 26 12 17 17 17 13 17 10 17 17 26 17 17 21 17 8 7 7 7 7 
bremen_000200_000019,7 8 8 8 21 13 13 17 21 17 17 33 17 26 17 21 26 21 21 26 17 17 26 17 21 26 21 17 26 21 17 
strasbourg_000001_060173,13 12 12 12 7 8 8 8 8 21 17 17 26 17 17 17 17 18 17 17 13 
hanover_000000_032559,7 8 21 17 17 17 17 21 26 17 17 17 21 26 17 26 17 17 33 26 21 17 26 26 26 26 26 26 26 26 26 
hamburg_000000_006322,7 8 21 8 26 26 26 21 21 17 26 21 21 21 17 26 26 21 21 26 26 26 21 26 21 17 21 26 26 21 26 21 13 17 17 13 
